1;1;1;1;1055;4699164.50000
1;1;1;2;1061;4781233.00000
1;1;1;4;1068;4873828.50000
1;1;1;5;1070;4878515.50000
1;1;15;1;1050;4667752.50000
1;1;15;2;1055;4741962.00000
1;1;15;4;1063;4837567.50000
1;1;15;5;1068;4925969.50000
1;1;25;1;1050;4666203.00000
1;1;25;2;1056;4774059.00000
1;1;25;4;1064;4854120.50000
1;1;25;5;1067;4892426.50000
1;1;35;1;1049;4635929.00000
1;1;35;2;1056;4761075.00000
1;1;35;4;1065;4882814.00000
1;1;35;5;1068;4920351.00000
1;15;1;1;1051;4688908.00000
1;15;1;2;1056;4746063.00000
1;15;1;4;1067;4829687.00000
1;15;1;5;1069;4834730.00000
1;15;15;1;1054;4683487.50000
1;15;15;2;1061;4758879.00000
1;15;15;4;1068;4861178.50000
1;15;15;5;1071;4891139.00000
1;15;25;1;1054;4720071.50000
1;15;25;2;1060;4792382.50000
1;15;25;4;1068;4898410.50000
1;15;25;5;1070;4913681.50000
1;15;35;1;1053;4702156.50000
1;15;35;2;1057;4763701.50000
1;15;35;4;1065;4867916.00000
1;15;35;5;1070;4921541.00000
1;25;1;1;1051;4734459.00000
1;25;1;2;1057;4758408.00000
1;25;1;4;1066;4802964.00000
1;25;1;5;1069;4856527.50000
1;25;15;1;1056;4681969.50000
1;25;15;2;1061;4761590.50000
1;25;15;4;1067;4806110.00000
1;25;15;5;1071;4874637.00000
1;25;25;1;1055;4717384.50000
1;25;25;2;1061;4788140.00000
1;25;25;4;1068;4870510.00000
1;25;25;5;1069;4879886.50000
1;25;35;1;1055;4723534.50000
1;25;35;2;1059;4780387.00000
1;25;35;4;1069;4899835.50000
1;25;35;5;1071;4910714.00000
1;35;1;1;1051;4719956.00000
1;35;1;2;1057;4799240.00000
1;35;1;4;1065;4805141.00000
1;35;1;5;1071;4854980.00000
1;35;15;1;1055;4657592.50000
1;35;15;2;1059;4722493.00000
1;35;15;4;1066;4807034.50000
1;35;15;5;1072;4855652.50000
1;35;25;1;1054;4687611.00000
1;35;25;2;1060;4736833.00000
